GEOID,NAME,geometry,Hispanic,White,Black,American Indian,Asian,Native Hawaiian,Other Race,Two or More,Total,Total 18+,Under 18
55079005100,"Census Tract 51, Milwaukee County, Wisconsin","list(list(c(-88.007319, -88.007298, -88.007237, -88.007235, -88.00415, -88.00302, -87.999448, -87.99826, -87.995832, -87.994602, -87.98952, -87.989543, -87.989635, -87.987134, -87.987324, -87.992382, -87.997298, -88.001287, -88.00736, -88.007319, 43.082623, 43.084448, 43.089836, 43.089993, 43.090011, 43.090006, 43.090013, 43.090023, 43.090033, 43.090033, 43.090031, 43.088104, 43.082664, 43.082668, 43.075361, 43.075363, 43.075364, 43.075347, 43.077925, 43.082623)))",0.029088750371029978,0.10151380231522707,0.7770851884832295,0.0017809439002671415,0.046898189373701396,0,0.0050460077174235675,0.0385871178391214,3369,2348,1021
55079006300,"Census Tract 63, Milwaukee County, Wisconsin","list(list(c(-87.957334, -87.95728, -87.957247, -87.957216, -87.95331, -87.949686, -87.94718, -87.947259, -87.947293, -87.947317, -87.947341, -87.949823, -87.952721, -87.953948, -87.95736, -87.957334, 43.073368, 43.077021, 43.079115, 43.081127, 43.081139, 43.081151, 43.081147, 43.077015, 43.07523, 43.073388, 43.071577, 43.071572, 43.071568, 43.071565, 43.071558, 43.073368)))",0.03612565445026178,0.01780104712041885,0.9052356020942408,0,0.002617801047120419,0.0010471204188481676,0.005759162303664921,0.031413612565445025,1910,1246,664
55079006400,"Census Tract 64, Milwaukee County, Wisconsin","list(list(c(-87.947317, -87.947293, -87.947259, -87.945994, -87.944752, -87.942278, -87.938756, -87.937331, -87.937354, -87.937368, -87.937396, -87.937425, -87.942395, -87.947341, -87.947317, 43.073388, 43.07523, 43.077015, 43.076995, 43.076975, 43.076936, 43.076879, 43.076834, 43.075767, 43.075077, 43.073242, 43.071436, 43.071497, 43.071577, 43.073388)))",0.05198776758409786,0.014780835881753314,0.8837920489296636,0.003567787971457696,0.00764525993883792,0,0.013251783893985729,0.024974515800203875,1962,1202,760
55079006500,"Census Tract 65, Milwaukee County, Wisconsin","list(list(c(-87.94718, -87.947137, -87.945897, -87.94369, -87.942195, -87.941103, -87.939694, -87.937215, -87.937331, -87.938756, -87.942278, -87.944752, -87.945994, -87.947259, -87.94718, 43.081147, 43.083506, 43.082538, 43.082486, 43.082458, 43.082437, 43.08241, 43.082363, 43.076834, 43.076879, 43.076936, 43.076975, 43.076995, 43.077015, 43.081147)))",0.029980657640232108,0.016924564796905222,0.9119922630560928,0.004835589941972921,0.008220502901353965,0,0.004352030947775629,0.023694390715667313,2068,1310,758
55079015700,"Census Tract 157, Milwaukee County, Wisconsin","list(list(c(-87.933002, -87.932998, -87.932995, -87.932992, -87.93304, -87.926732, -87.922532, -87.922542, -87.922538, -87.922531, -87.925351, -87.926753, -87.930541, -87.933062, -87.933002, 43.020138, 43.021155, 43.022181, 43.02299, 43.024228, 43.024241, 43.024221, 43.023221, 43.021194, 43.019106, 43.019103, 43.019102, 43.019091, 43.019095, 43.020138)))",0.7920489296636085,0.09650016989466531,0.07237512742099898,0.004417261297995243,0.018688413183826028,0,0.0037376826367652057,0.012232415902140673,2943,429,2514
55079015800,"Census Tract 158, Milwaukee County, Wisconsin","list(list(c(-87.942244, -87.94224, -87.942242, -87.938084, -87.93304, -87.932992, -87.932995, -87.932998, -87.933002, -87.933062, -87.936814, -87.938098, -87.94225, -87.942244, 43.021129, 43.022513, 43.0242, 43.024223, 43.024228, 43.02299, 43.022181, 43.021155, 43.020138, 43.019095, 43.019102, 43.019104, 43.019095, 43.021129)))",0.7168377042949449,0.10224249334853668,0.12960851387305208,0.002280501710376283,0.02508551881413911,7.601672367920942e-4,0.002280501710376283,0.02090459901178259,2631,521,2110
55079015900,"Census Tract 159, Milwaukee County, Wisconsin","list(list(c(-87.952643, -87.950276, -87.947799, -87.942242, -87.94224, -87.942244, -87.94225, -87.943637, -87.946408, -87.949107, -87.952583, -87.952581, -87.952643, 43.023837, 43.024027, 43.02417, 43.0242, 43.022513, 43.021129, 43.019095, 43.019091, 43.019085, 43.01907, 43.019054, 43.021908, 43.023837)))",0.684958217270195,0.12952646239554316,0.11671309192200557,0.010027855153203343,0.030083565459610027,5.571030640668524e-4,0.003064066852367688,0.025069637883008356,3590,855,2735
55079016200,"Census Tract 162, Milwaukee County, Wisconsin","list(list(c(-87.952585, -87.952583, -87.949107, -87.946408, -87.943637, -87.94225, -87.942236, -87.942279, -87.94367, -87.945052, -87.947766, -87.947894, -87.950328, -87.952709, -87.952585, 43.016929, 43.019054, 43.01907, 43.019085, 43.019091, 43.019095, 43.017023, 43.014172, 43.014168, 43.014165, 43.014147, 43.014145, 43.01412, 43.014111, 43.016929)))",0.6814320388349514,0.1729368932038835,0.04975728155339806,0.006674757281553398,0.06128640776699029,9.101941747572816e-4,0.003337378640776699,0.02366504854368932,3296,775,2521
55079016300,"Census Tract 163, Milwaukee County, Wisconsin","list(list(c(-87.942279, -87.942236, -87.94225, -87.938098, -87.936814, -87.933062, -87.932912, -87.932933, -87.932954, -87.932999, -87.933006, -87.933057, -87.935339, -87.93648, -87.938167, -87.940915, -87.942297, -87.942279, 43.014172, 43.017023, 43.019095, 43.019104, 43.019102, 43.019095, 43.01702, 43.016018, 43.015744, 43.014246, 43.014012, 43.012331, 43.01235, 43.012359, 43.012385, 43.012424, 43.012444, 43.014172)))",0.7405314919439213,0.09060472902280813,0.09646369533375183,0.0052312199204854574,0.04080351537978657,2.092487968194183e-4,0.003766478342749529,0.022389621259677757,4779,783,3996
55079016400,"Census Tract 164, Milwaukee County, Wisconsin","list(list(c(-87.933062, -87.930541, -87.926753, -87.925351, -87.922531, -87.922525, -87.922635, -87.925453, -87.926858, -87.928026, -87.932999, -87.932954, -87.932933, -87.932912, -87.933062, 43.019095, 43.019091, 43.019102, 43.019103, 43.019106, 43.017041, 43.014141, 43.01414, 43.014186, 43.014227, 43.014246, 43.015744, 43.016018, 43.01702, 43.019095)))",0.7800947867298578,0.07132701421800948,0.08530805687203792,0.00971563981042654,0.03601895734597156,4.7393364928909954e-4,0.0037914691943127963,0.013270142180094787,4220,631,3589
